"","mydata"
"1837",4045
"1838",4214
"1839",4786
"1840",3956
"1841",4337
"1842",4011
"1843",4532
"1844",4217
"1845",3843
"1846",4381
"1847",4448
"1848",4191
"1849",4216
"1850",4120
"1851",4500
"1852",4698
"1853",3082
"1854",4314
"1855",3893
"1856",4271
"1857",4275
"1858",4162
"1859",4289
"1860",4247
"1861",4601
"1862",4630
"1863",4630
"1864",4502
"1865",4253
"1866",4303
"1867",4019
"1868",3896
"1869",3975
"1870",3980
"1871",4151
"1872",4793
"1873",4297
"1874",5182
"1875",2258
"1876",4573
"1877",5011
"1878",3649
"1879",4661
"1880",3639
"1881",4670
"1882",4216
"1883",4537
"1884",4084
"1885",4274
"1886",4443
"1887",4450
"1888",4430
"1889",3855
"1890",4689
"1891",4661
"1892",4589
"1893",4803
"1894",4539
"1895",4416
"1896",4312
"1897",4346
"1898",4332
"1899",3970
"1900",4921
"1901",4451
"1902",4000
"1903",4119
"1904",4243
"1905",4004
"1906",4047
"1907",4030
"1908",4659
"1909",4556
"1910",4726
"1911",4334
"1912",4028
"1913",4777
"1914",4497
"1915",2538
"1916",4082
"1917",4566
"1918",4324
"1919",4354
"1920",4786
"1921",4781
"1922",4425
"1923",3874
"1924",4046
"1925",4489
"1926",3823
"1927",4861
"1928",4147
"1929",4012
"1930",4018
"1931",3888
"1932",3744
"1933",4025
"1934",3397
"1935",2713
"1936",2266
"1937",4289
"1938",4590
"1939",3901
"1940",4292
"1941",4424
"1942",4388
"1943",4165
"1944",4778
"1945",4317
"1946",4108
"1947",3846
"1948",3663
"1949",4251
"1950",4684
"1951",4090
"1952",4458
"1953",4062
"1954",4584
"1955",4225
"1956",4581
"1957",3966
"1958",3546
"1959",4130
"1960",4451
"1961",4592
"1962",4458
"1963",4747
"1964",4064
"1965",4998
"1966",4312
"1967",3669
"1968",3135
"1969",4246
"1970",3979
"1971",4111
"1972",4745
"1973",4625
"1974",4730
"1975",3932
"1976",4515
"1977",3876
"1978",4301
"1979",4442
"1980",4725
"1981",4020
"1982",4580
"1983",4760
"1984",4562
"1985",4211
"1986",3318
"1987",3285
"1988",4096
"1989",3559
"1990",2953
"1991",3953
"1992",4104
"1993",2862
"1994",3571
"1995",2814
"1996",3938
"1997",4162
"1998",3335
"1999",4059
"2000",4741
"2001",3845
"2002",4441
"2003",4327
"2004",3204
"2005",4196
"2006",4479
"2007",4044
"2008",3350
"2009",3534
"2010",3342
"2011",3985
"2012",3301
"2013",3598
"2014",5061
"2015",4297
"2016",3450
"2017",3494
"2018",3606
"2019",4262
"2020",3635
"2021",4411
"2022",4209
"2023",4114
"2024",3497
"2025",3089
"2026",3963
"2027",3962
"2028",2283
"2029",2912
"2030",4221
"2031",4221
"2032",3215
"2033",4051
"2034",4132
"2035",3895
"2036",4726
"2037",3895
"2038",2928
"2039",4400
"2040",3753
"2041",4266
"2042",3431
"2043",4009
"2044",4091
"2045",2782
"2046",4039
"2047",4238
"2048",4220
"2049",3917
"2050",3394
"2051",3670
"2052",2947
"2053",3796
"2054",3858
"2055",3185
"2056",4252
"2057",3874
"2058",4041
"2059",4324
"2060",4161
"2061",4092
"2062",3681
"2063",3382
"2064",3256
"2065",4235
"2066",4269
"2067",4387
"2068",4229
"2069",3794
"2070",4206
"2071",4630
"2072",3425
"2073",3972
"2074",4084
"2075",3288
"2076",3828
"2077",4231
"2078",3627
"2079",3966
"2080",3522
"2081",4053
"2082",3172
"2083",3805
"2084",4468
"2085",4408
"2086",4111
"2087",3981
"2088",3752
"2089",3663
"2090",4501
"2091",3937
"2092",3933
"2093",4933
"2094",3798
"2095",4587
"2096",4041
"2097",4041
"2098",4432
"2099",4520
"2100",3513
"2101",3513
"2102",4104
"2103",4344
"2104",4053
"2105",4019
"2106",3881
"2107",4190
"2108",3892
"2109",4047
"2110",3598
"2111",3640
"2112",4222
"2113",3886
"2114",4082
"2115",4099
"2116",3876
"2117",4657
"2118",4137
"2119",3581
"2120",3908
"2121",4046
"2122",4320
"2123",4036
"2124",4400
"2125",4533
"2126",3989
"2127",4126
"2128",4061
"2129",3966
"2130",3918
"2131",4001
"2132",3698
"2133",3026
"2134",3799
"2135",4396
"2136",4449
